SourceFile,SearchKey,ODSCode,OrganisationName,PeriodIndex,PeriodServiceIndex,ServiceCode,ServiceName
page_000035.json,X11898,FRQ90,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11898,FRQ90,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11898,FRQ90,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11908,FRR41,Pharmco,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11908,FRR41,Pharmco,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11908,FRR41,Pharmco,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11911,FRR58,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11911,FRR58,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11911,FRR58,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11911,FRR58,Boots,2,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11911,FRR58,Boots,2,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11911,FRR58,Boots,2,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X119181,FWW06,Britannia Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X119181,FWW06,Britannia Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X119181,FWW06,Britannia Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11922,FRT31,WELL,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11922,FRT31,WELL,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11922,FRT31,WELL,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11944,FRV51,Rowlands Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11944,FRV51,Rowlands Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11944,FRV51,Rowlands Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11975,FRX14,WELL,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11975,FRX14,WELL,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11975,FRX14,WELL,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11979,FRX60,POPSON CHEMIST,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11979,FRX60,POPSON CHEMIST,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11979,FRX60,POPSON CHEMIST,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X119922,FWL39,Higher Broughton Salford Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X119922,FWL39,Higher Broughton Salford Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X119922,FWL39,Higher Broughton Salford Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11993,FT015,SUPERDRUG PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11993,FT015,SUPERDRUG PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11993,FT015,SUPERDRUG PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X119975,FJ811,Soho Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X119975,FJ811,Soho Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X119975,FJ811,Soho Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000036.json,X12003,FT042,TESCO INSTORE PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000036.json,X12003,FT042,TESCO INSTORE PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000036.json,X12003,FT042,TESCO INSTORE PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000036.json,X12066,FT390,Mitcheldean Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000036.json,X12066,FT390,Mitcheldean Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000036.json,X12066,FT390,Mitcheldean Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000036.json,X12081,FT450,Broadshire Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000036.json,X12081,FT450,Broadshire Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000036.json,X12081,FT450,Broadshire Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000036.json,X12112,FT650,Heatherside Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000036.json,X12112,FT650,Heatherside Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000036.json,X12112,FT650,Heatherside Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000036.json,X12127,FT754,JAYSONS PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000036.json,X12127,FT754,JAYSONS PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000036.json,X12127,FT754,JAYSONS PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000036.json,X12136,FT820,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000036.json,X12136,FT820,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000036.json,X12136,FT820,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000037.json,X12174,FTC16,Tesco Instore Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000037.json,X12174,FTC16,Tesco Instore Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000037.json,X12174,FTC16,Tesco Instore Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000037.json,X12185,FTC73,Asda Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000037.json,X12185,FTC73,Asda Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000037.json,X12185,FTC73,Asda Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000037.json,X12187,FTC85,Morrisons Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000037.json,X12187,FTC85,Morrisons Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000037.json,X12187,FTC85,Morrisons Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000037.json,X12237,FTF34,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000037.json,X12237,FTF34,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000037.json,X12237,FTF34,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000037.json,X12258,FTG23,Superdrug Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000037.json,X12258,FTG23,Superdrug Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000037.json,X12258,FTG23,Superdrug Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000037.json,X12289,FTH55,Mayors Chemist,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000037.json,X12289,FTH55,Mayors Chemist,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000037.json,X12289,FTH55,Mayors Chemist,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000037.json,X12290,FTH56,Unipharm Chemists,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000037.json,X12290,FTH56,Unipharm Chemists,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000037.json,X12290,FTH56,Unipharm Chemists,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000037.json,X12304,FTJ43,TESCO INSTORE PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000037.json,X12304,FTJ43,TESCO INSTORE PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000037.json,X12304,FTJ43,TESCO INSTORE PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000037.json,X12324,FTK44,Asif's Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000037.json,X12324,FTK44,Asif's Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000037.json,X12324,FTK44,Asif's Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
